id;start_date;end_date;language
1;2025-05-22T09:28:08;2025-05-22T09:28:35;SPANISH
2;2025-05-22T04:55:13;2025-05-22T03:24:42;FRENCH
3;2025-05-21T22:00:33;2025-05-21T13:45:13;FRENCH
4;2025-05-21T19:06:04;2025-05-21T15:23:17;FRENCH
5;2025-05-21T17:43:15;2025-05-21T20:25:45;SPANISH
6;2025-05-22T07:12:35;2025-05-22T00:50:55;FRENCH
7;2025-05-22T07:46:27;2025-05-22T03:31:02;SPANISH
8;2025-05-22T07:38:23;2025-05-22T00:06:07;FRENCH
9;2025-05-21T20:07:41;2025-05-22T10:50:35;FRENCH
10;2025-05-21T17:18:47;2025-05-21T19:49:03;FRENCH
