id;street_address;postal_code;city;state_province
1;ramp eek whether;hurtful platter knavishly;Fort Kameron;roughly
2;or joyful but;up;Port Markusmouth;hmph hmph
3;tank;fake lieu;Adelinefurt;nab famously
4;blah incomplete;while;Oberbrunnerberg;oof
5;busily stiff quietly;meh victoriously godfather;Waldorf;fooey readily ugh
6;symbolise psst;toward;North Aida;forenenst floodlight
7;oof until;snappy whenever mmm;East Elza;guide of flashy
8;expatiate er whoa;wherever under;North Raymundoburgh;pfft experience
9;thorny almighty veg;opposite except;East Providence;list
10;if pfft section;beside showboat;East Lennyton;describe against
